chr	lefts	rights	fd
chrIII	22302	122302	0.027347989018904
chrIII	122302	222302	0.013511669425853
chrIII	222302	322302	0.0352531745841738
chrIII	322302	422302	-0.030477341150522
chrIII	422302	522302	-0.0943515943936347
chrIII	522302	622302	0.000842483959010986
chrIII	622302	722302	-0.017146299669418
chrIII	722302	822302	-0.0452195117070824
chrIII	822302	922302	-0.0516796453293205
chrIII	922302	1022302	-0.019008153724018
chrIII	1022302	1122302	0.00672364430702082
chrIII	1122302	1222302	0.0326397472300649
chrIII	1222302	1322302	0.0089934704472066
chrIII	1322302	1422302	0.05244888080681
chrIII	1422302	1522302	0.00501806011660675
chrIII	1522302	1622302	-0.000635568658431067
chrIII	1622302	1722302	-0.0381761746258253
chrIII	1722302	1822302	-0.0107212665968718
chrIII	1822302	1922302	-0.0487749964759597
chrIII	1922302	2022302	-0.0227639653107605
chrIII	2022302	2122302	-0.0344467037225388
chrIII	2122302	2222302	-0.0299238901164655
chrIII	2222302	2322302	-0.0141443133612331
chrIII	2322302	2422302	-0.0752401443722757
chrIII	2422302	2522302	-0.0672078723301928
chrIII	2522302	2622302	-0.0351887163780671
chrIII	2622302	2722302	-0.00222564300342199
chrIII	2722302	2822302	-0.0411826768512006
chrIII	2822302	2922302	-0.0039966942973372
chrIII	2922302	3022302	0.0295105834636594
chrIII	3022302	3122302	-0.0360283408920593
chrIII	3122302	3222302	-0.0128866334854536
chrIII	3222302	3322302	-0.0140693932530595
chrIII	3322302	3422302	-0.07600648500742
chrIII	3422302	3522302	0.0190591166140125
chrIII	3522302	3622302	-0.00711441097625912
chrIII	3622302	3722302	-0.063407720693509
chrIII	3722302	3822302	-0.0280634082206468
chrIII	3822302	3922302	0.00153293806852783
chrIII	3922302	4022302	-0.0515937852440058
chrIII	4022302	4122302	-0.0151824231130538
chrIII	4122302	4222302	0.0275755814253872
chrIII	4222302	4322302	0.00570264123796174
chrIII	4322302	4422302	-0.0207724578012859
chrIII	4422302	4522302	0.0168491379436017
chrIII	4522302	4622302	-0.034604805439328
chrIII	4622302	4722302	-0.0597495113638524
chrIII	4722302	4822302	-0.0495177289320259
chrIII	4822302	4922302	-0.0181441774952892
chrIII	4922302	5022302	-0.042985455524548
chrIII	5022302	5122302	-0.0882922744354563
chrIII	5122302	5222302	-0.0508529604205211
chrIII	5222302	5322302	0.014827003543144
chrIII	5322302	5422302	-0.0411424670974868
chrIII	5422302	5522302	0.0153558565749382
chrIII	5522302	5622302	-0.0414603249107354
chrIII	5622302	5722302	0.00127632645561096
chrIII	5722302	5822302	-0.00790871914479077
chrIII	5822302	5922302	-0.0211356819287183
chrIII	5922302	6022302	-0.0106317026499148
chrIII	6022302	6122302	-0.0505407586508801
chrIII	6122302	6222302	-0.0121692222039711
chrIII	6222302	6322302	-0.00631824393263999
chrIII	6322302	6422302	-0.0446401770783338
chrIII	6422302	6522302	-0.0143193221475312
chrIII	6522302	6622302	-0.0191556975487854
chrIII	6622302	6722302	-0.00670010783557947
chrIII	6722302	6822302	-0.0037453557162605
chrIII	6822302	6922302	0.044309904623309
chrIII	6922302	7022302	0.0317952461021946
chrIII	7022302	7122302	0.00171810354615639
chrIII	7122302	7222302	-0.0101148582723379
chrIII	7222302	7322302	0.0360418029010925
chrIII	7322302	7422302	-0.0188280596130029
chrIII	7422302	7522302	-0.0144222924984066
chrIII	7522302	7622302	-0.0382898747910426
chrIII	7622302	7722302	-0.0356596029003948
chrIII	7722302	7822302	-0.0596712054159154
chrIII	7822302	7922302	-0.0600191400727679
chrIII	7922302	8022302	-0.0109790451206029
chrIII	8022302	8122302	-0.0112281057925187
chrIII	8122302	8222302	-0.0134677442612148
chrIII	8222302	8322302	-0.0599190791339552
chrIII	8322302	8422302	-0.00455472162653574
chrIII	8422302	8522302	-0.0325006686385298
chrIII	8522302	8622302	-0.00495453808103801
chrIII	8622302	8722302	-0.0218133384120736
chrIII	8722302	8822302	-0.0197155667064196
chrIII	8822302	8922302	0.027635960448729
chrIII	8922302	9022302	0.0379022804548771
chrIII	9022302	9122302	0.0105845010277367
chrIII	9122302	9222302	-9.01927415360376e-05
chrIII	9222302	9322302	0.0237255352094015
chrIII	9322302	9422302	0.029689473245711
chrIII	9422302	9522302	0.0142454464908107
chrIII	9522302	9622302	0.0494040196076393
chrIII	9622302	9722302	-0.0241254504751018
chrIII	9722302	9822302	-0.0159677476854373
chrIII	9822302	9922302	-0.0269640454827445
chrIII	9922302	10022302	-0.0141400622576935
chrIII	10022302	10122302	-0.0543334270922039
chrIII	10122302	10222302	-0.0733632383821751
chrIII	10222302	10322302	-0.0643194644151556
chrIII	10322302	10422302	0.00216564809314008
chrIII	10422302	10522302	-0.0122408548475057
chrIII	10522302	10622302	-0.00768400562319269
chrIII	10622302	10722302	-0.0453267909114312
chrIII	10722302	10822302	-0.0175653757938942
chrIII	10822302	10922302	0.00452530394843264
chrIII	10922302	11022302	-0.0171782079647625
chrIII	11022302	11122302	-0.0461908034784635
chrIII	11122302	11222302	-0.0270581376812814
chrIII	11222302	11322302	0.0181360741983759
chrIII	11322302	11422302	-0.0683385337326041
chrIII	11422302	11522302	-0.0421893400477572
chrIII	11522302	11622302	0.00577462552340779
chrIII	11622302	11722302	0.00865373850478572
chrIII	11722302	11822302	-0.0423172317930981
chrIII	11822302	11922302	-0.0404232993525007
chrIII	11922302	12022302	0.0435269433106294
chrIII	12022302	12122302	-0.0034225590029269
chrIII	12122302	12222302	-0.0151603059650502
chrIII	12222302	12322302	-0.0162108351565627
chrIII	12322302	12422302	-0.00480791008949198
chrIII	12422302	12522302	-0.0101375684720066
chrIII	12522302	12622302	-0.00187739757400482
chrIII	12622302	12722302	-0.0318772596866359
chrIII	12722302	12822302	-0.00305941649675101
chrIII	12822302	12922302	-0.0759535829423508
chrIII	12922302	13022302	-0.0236903329410455
chrIII	13022302	13122302	0.0131144344070227
chrIII	13122302	13222302	-0.0541536162211538
chrIII	13222302	13322302	0.00174831216856085
chrIII	13322302	13422302	0.0112237955411707
chrIII	13422302	13522302	-0.0304845797054339
