gene	species	dN	dS	dNdS
ENSGACG00000001417_ENSGACT00000007265	ref	0.0310	0.1276	0.2431
ENSGACG00000001417_ENSGACT00000007265	pun	0.0017	0.0074	0.2363
ENSGACG00000001417_ENSGACT00000007265	sin	0.0033	0.0245	0.1359
ENSGACG00000001422_ENSGACT00000007265	ref	0.0353	0.1280	0.2761
ENSGACG00000001422_ENSGACT00000007265	pun	0.0074	0.0001	99.0000
ENSGACG00000001422_ENSGACT00000007265	sin	0.0066	0.0424	0.1557
ENSGACG00000001424_ENSGACT00000007301	ref	0.0588	0.1046	0.5623
ENSGACG00000001424_ENSGACT00000007301	pun	0.0174	0.0002	99.0000
ENSGACG00000001424_ENSGACT00000007301	sin	0.0102	0.0001	99.0000
ENSGACG00000001427_ENSGACT00000007298	ref	0.0539	0.1357	0.3973
ENSGACG00000001427_ENSGACT00000007298	pun	0.0194	0.0598	0.3252
ENSGACG00000001427_ENSGACT00000007298	sin	0.0215	0.0471	0.4560
ENSGACG00000001430_ENSGACT00000007298	ref	0.0000	0.0000	0.1303
ENSGACG00000001430_ENSGACT00000007298	pun	0.0000	0.0000	0.1550
ENSGACG00000001430_ENSGACT00000007298	sin	0.0000	0.0000	0.1342
ENSGACG00000001431_ENSGACT00000007298	ref	0.1274	0.0013	99.0000
ENSGACG00000001431_ENSGACT00000007298	pun	0.0000	0.0000	0.0010
ENSGACG00000001431_ENSGACT00000007298	sin	0.0000	0.0000	0.0010
ENSGACG00000001436_ENSGACT00000007345	ref	0.0000	0.0000	0.1362
ENSGACG00000001436_ENSGACT00000007345	pun	0.0000	0.0000	0.0297
ENSGACG00000001436_ENSGACT00000007345	sin	0.0000	0.0000	0.0322
ENSGACG00000001438_ENSGACT00000007345	ref	0.0100	0.2148	0.0464
ENSGACG00000001438_ENSGACT00000007345	pun	0.0000	0.0408	0.0010
ENSGACG00000001438_ENSGACT00000007345	sin	0.0107	0.0409	0.2627
ENSGACG00000001446_ENSGACT00000007416	ref	0.0193	0.1341	0.1438
ENSGACG00000001446_ENSGACT00000007416	pun	0.0074	0.0169	0.4404
ENSGACG00000001446_ENSGACT00000007416	sin	0.0023	0.0264	0.0870
ENSGACG00000001450_ENSGACT00000007408	ref	0.0000	0.0000	0.1049
ENSGACG00000001450_ENSGACT00000007408	pun	0.0000	0.0000	0.0010
ENSGACG00000001450_ENSGACT00000007408	sin	0.0000	0.0000	0.0010
ENSGACG00000001454_ENSGACT00000007424	ref	0.0335	0.2313	0.1449
ENSGACG00000001454_ENSGACT00000007424	pun	0.0033	0.0225	0.1448
ENSGACG00000001454_ENSGACT00000007424	sin	0.0227	0.0132	1.7163
ENSGACG00000001455_ENSGACT00000007469	ref	0.0380	0.1824	0.2085
ENSGACG00000001455_ENSGACT00000007469	pun	0.0224	0.0340	0.6570
ENSGACG00000001455_ENSGACT00000007469	sin	0.0000	0.0490	0.0010
ENSGACG00000001456_ENSGACT00000007460	ref	0.0042	0.1204	0.0345
ENSGACG00000001456_ENSGACT00000007460	pun	0.0000	0.0411	0.0010
ENSGACG00000001456_ENSGACT00000007460	sin	0.0103	0.0094	1.0935
ENSGACG00000001457_ENSGACT00000007452	ref	0.0136	0.1183	0.1147
ENSGACG00000001457_ENSGACT00000007452	pun	0.0021	0.0222	0.0962
ENSGACG00000001457_ENSGACT00000007452	sin	0.0041	0.0170	0.2396
ENSGACG00000001457_ENSGACT00000007460	ref	0.0115	0.0949	0.1211
ENSGACG00000001457_ENSGACT00000007460	pun	0.0031	0.0190	0.1638
