CHROM	treeNumber	windowNumber	BIN_START	BIN_END	biggestMonoPhyletic	expected	switchesNeeded	SDRbool
chrI	1	w0	0	100000	6	15	9	False
chrI	2	w1	100000	200000	4	15	11	False
chrI	3	w2	200000	300000	3	15	12	False
chrI	4	w3	300000	400000	3	15	12	False
chrI	5	w4	400000	500000	2	15	13	False
chrI	6	w5	500000	600000	3	15	12	False
chrI	7	w6	600000	700000	3	15	12	False
chrI	8	w7	700000	800000	2	15	13	False
chrI	9	w8	800000	900000	3	15	12	False
chrI	10	w9	900000	1000000	2	15	13	False
chrI	11	w10	1000000	1100000	4	15	11	False
chrI	12	w11	1100000	1200000	3	15	12	False
chrI	13	w12	1200000	1300000	2	15	13	False
chrI	14	w13	1300000	1400000	3	15	12	False
chrI	15	w14	1400000	1500000	2	15	13	False
chrI	16	w15	1500000	1600000	3	15	12	False
chrI	17	w16	1600000	1700000	2	15	13	False
chrI	18	w17	1700000	1800000	5	15	10	False
chrI	19	w18	1800000	1900000	3	15	12	False
chrI	20	w19	1900000	2000000	3	15	12	False
chrI	21	w20	2000000	2100000	3	15	12	False
chrI	22	w21	2100000	2200000	3	15	12	False
chrI	23	w22	2200000	2300000	2	15	13	False
chrI	24	w23	2300000	2400000	2	15	13	False
chrI	25	w24	2400000	2500000	4	15	11	False
chrI	26	w25	2500000	2600000	2	15	13	False
chrI	27	w26	2600000	2700000	2	15	13	False
chrI	28	w27	2700000	2800000	2	15	13	False
chrI	29	w28	2800000	2900000	2	15	13	False
chrI	30	w29	2900000	3000000	4	15	11	False
chrI	31	w30	3000000	3100000	3	15	12	False
chrI	32	w31	3100000	3200000	2	15	13	False
chrI	33	w32	3200000	3300000	2	15	13	False
chrI	34	w33	3300000	3400000	3	15	12	False
chrI	35	w34	3400000	3500000	2	15	13	False
chrI	36	w35	3500000	3600000	2	15	13	False
chrI	37	w36	3600000	3700000	3	15	12	False
chrI	38	w37	3700000	3800000	4	15	11	False
chrI	39	w38	3800000	3900000	3	15	12	False
chrI	40	w39	3900000	4000000	4	15	11	False
chrI	41	w40	4000000	4100000	3	15	12	False
chrI	42	w41	4100000	4200000	3	15	12	False
chrI	43	w42	4200000	4300000	2	15	13	False
chrI	44	w43	4300000	4400000	2	15	13	False
chrI	45	w44	4400000	4500000	3	15	12	False
chrI	46	w45	4500000	4600000	2	15	13	False
chrI	47	w46	4600000	4700000	2	15	13	False
chrI	48	w47	4700000	4800000	3	15	12	False
chrI	49	w48	4800000	4900000	3	15	12	False
chrI	50	w49	4900000	5000000	4	15	11	False
chrI	51	w50	5000000	5100000	3	15	12	False
chrI	52	w51	5100000	5200000	3	15	12	False
chrI	53	w52	5200000	5300000	2	15	13	False
chrI	54	w53	5300000	5400000	2	15	13	False
chrI	55	w54	5400000	5500000	5	15	10	False
chrI	56	w55	5500000	5600000	2	15	13	False
chrI	57	w56	5600000	5700000	3	15	12	False
chrI	58	w57	5700000	5800000	7	15	8	False
chrI	59	w58	5800000	5900000	2	15	13	False
chrI	60	w59	5900000	6000000	3	15	12	False
chrI	61	w60	6000000	6100000	2	15	13	False
chrI	62	w61	6100000	6200000	5	15	10	False
chrI	63	w62	6200000	6300000	3	15	12	False
chrI	64	w63	6300000	6400000	4	15	11	False
chrI	65	w64	6400000	6500000	5	15	10	False
chrI	66	w65	6500000	6600000	3	15	12	False
chrI	67	w66	6600000	6700000	2	15	13	False
chrI	68	w67	6700000	6800000	2	15	13	False
chrI	69	w68	6800000	6900000	3	15	12	False
chrI	70	w69	6900000	7000000	4	15	11	False
chrI	71	w70	7000000	7100000	3	15	12	False
chrI	72	w71	7100000	7200000	4	15	11	False
chrI	73	w72	7200000	7300000	5	15	10	False
chrI	74	w73	7300000	7400000	2	15	13	False
chrI	75	w74	7400000	7500000	2	15	13	False
chrI	76	w75	7500000	7600000	4	15	11	False
chrI	77	w76	7600000	7700000	4	15	11	False
chrI	78	w77	7700000	7800000	3	15	12	False
chrI	79	w78	7800000	7900000	2	15	13	False
chrI	80	w79	7900000	8000000	3	15	12	False
chrI	81	w80	8000000	8100000	4	15	11	False
chrI	82	w81	8100000	8200000	6	15	9	False
chrI	83	w82	8200000	8300000	3	15	12	False
chrI	84	w83	8300000	8400000	2	15	13	False
chrI	85	w84	8400000	8500000	3	15	12	False
chrI	86	w85	8500000	8600000	5	15	10	False
chrI	87	w86	8600000	8700000	2	15	13	False
chrI	88	w87	8700000	8800000	3	15	12	False
chrI	89	w88	8800000	8900000	2	15	13	False
chrI	90	w89	8900000	9000000	3	15	12	False
chrI	91	w90	9000000	9100000	2	15	13	False
chrI	92	w91	9100000	9200000	3	15	12	False
chrI	93	w92	9200000	9300000	3	15	12	False
chrI	94	w93	9300000	9400000	3	15	12	False
chrI	95	w94	9400000	9500000	3	15	12	False
chrI	96	w95	9500000	9600000	4	15	11	False
chrI	97	w96	9600000	9700000	4	15	11	False
chrI	98	w97	9700000	9800000	3	15	12	False
chrI	99	w98	9800000	9900000	3	15	12	False
chrI	100	w99	9900000	10000000	3	15	12	False
chrI	101	w100	10000000	10100000	4	15	11	False
chrI	102	w101	10100000	10200000	3	15	12	False
chrI	103	w102	10200000	10300000	3	15	12	False
chrI	104	w103	10300000	10400000	3	15	12	False
chrI	105	w104	10400000	10500000	2	15	13	False
chrI	106	w105	10500000	10600000	4	15	11	False
chrI	107	w106	10600000	10700000	2	15	13	False
chrI	108	w107	10700000	10800000	3	15	12	False
chrI	109	w108	10800000	10900000	2	15	13	False
chrI	110	w109	10900000	11000000	2	15	13	False
chrI	111	w110	11000000	11100000	4	15	11	False
chrI	112	w111	11100000	11200000	3	15	12	False
chrI	113	w112	11200000	11300000	5	15	10	False
chrI	114	w113	11300000	11400000	7	15	8	False
chrI	115	w114	11400000	11500000	3	15	12	False
chrI	116	w115	11500000	11600000	3	15	12	False
chrI	117	w116	11600000	11700000	3	15	12	False
chrI	118	w117	11700000	11800000	2	15	13	False
chrI	119	w118	11800000	11900000	2	15	13	False
chrI	120	w119	11900000	12000000	2	15	13	False
chrI	121	w120	12000000	12100000	3	15	12	False
chrI	122	w121	12100000	12200000	3	15	12	False
chrI	123	w122	12200000	12300000	3	15	12	False
chrI	124	w123	12300000	12400000	3	15	12	False
chrI	125	w124	12400000	12500000	2	15	13	False
chrI	126	w125	12500000	12600000	3	15	12	False
chrI	127	w126	12600000	12700000	5	15	10	False
chrI	128	w127	12700000	12800000	6	15	9	False
chrI	129	w128	12800000	12900000	3	15	12	False
chrI	130	w129	12900000	13000000	3	15	12	False
chrI	131	w130	13000000	13100000	2	15	13	False
chrI	132	w131	13100000	13200000	3	15	12	False
chrI	133	w132	13200000	13300000	3	15	12	False
chrI	134	w133	13300000	13400000	2	15	13	False
chrI	135	w134	13400000	13500000	2	15	13	False
chrI	136	w135	13500000	13600000	3	15	12	False
chrI	137	w136	13600000	13700000	3	15	12	False
chrI	138	w137	13700000	13800000	2	15	13	False
chrI	139	w138	13800000	13900000	2	15	13	False
chrI	140	w139	13900000	14000000	3	15	12	False
chrI	141	w140	14000000	14100000	2	15	13	False
chrI	142	w141	14100000	14200000	3	15	12	False
chrI	143	w142	14200000	14300000	3	15	12	False
chrI	144	w143	14300000	14400000	3	15	12	False
chrI	145	w144	14400000	14500000	3	15	12	False
chrI	146	w145	14500000	14600000	5	15	10	False
chrI	147	w146	14600000	14700000	2	15	13	False
chrI	148	w147	14700000	14800000	2	15	13	False
chrI	149	w148	14800000	14900000	3	15	12	False
chrI	150	w149	14900000	15000000	7	15	8	False
chrI	151	w150	15000000	15100000	2	15	13	False
chrI	152	w151	15100000	15200000	3	15	12	False
chrI	153	w152	15200000	15300000	2	15	13	False
chrI	154	w153	15300000	15400000	2	15	13	False
chrI	155	w154	15400000	15500000	4	15	11	False
chrI	156	w155	15500000	15600000	2	15	13	False
chrI	157	w156	15600000	15700000	2	15	13	False
chrI	158	w157	15700000	15800000	3	15	12	False
chrI	159	w158	15800000	15900000	2	15	13	False
chrI	160	w159	15900000	16000000	3	15	12	False
chrI	161	w160	16000000	16100000	5	15	10	False
chrI	162	w161	16100000	16200000	2	15	13	False
chrI	163	w162	16200000	16300000	3	15	12	False
chrI	164	w163	16300000	16400000	3	15	12	False
chrI	165	w164	16400000	16500000	3	15	12	False
chrI	166	w165	16500000	16600000	2	15	13	False
chrI	167	w166	16600000	16700000	3	15	12	False
chrI	168	w167	16700000	16800000	2	15	13	False
chrI	169	w168	16800000	16900000	3	15	12	False
chrI	170	w169	16900000	17000000	4	15	11	False
chrI	171	w170	17000000	17100000	2	15	13	False
chrI	172	w171	17100000	17200000	2	15	13	False
chrI	173	w172	17200000	17300000	3	15	12	False
chrI	174	w173	17300000	17400000	2	15	13	False
chrI	175	w174	17400000	17500000	4	15	11	False
chrI	176	w175	17500000	17600000	2	15	13	False
chrI	177	w176	17600000	17700000	3	15	12	False
chrI	178	w177	17700000	17800000	4	15	11	False
chrI	179	w178	17800000	17900000	5	15	10	False
chrI	180	w179	17900000	18000000	3	15	12	False
chrI	181	w180	18000000	18100000	3	15	12	False
chrI	182	w181	18100000	18200000	3	15	12	False
chrI	183	w182	18200000	18300000	3	15	12	False
chrI	184	w183	18300000	18400000	5	15	10	False
chrI	185	w184	18400000	18500000	2	15	13	False
chrI	186	w185	18500000	18600000	2	15	13	False
chrI	187	w186	18600000	18700000	3	15	12	False
chrI	188	w187	18700000	18800000	2	15	13	False
chrI	189	w188	18800000	18900000	3	15	12	False
chrI	190	w189	18900000	19000000	3	15	12	False
chrI	191	w190	19000000	19100000	2	15	13	False
chrI	192	w191	19100000	19200000	2	15	13	False
chrI	193	w192	19200000	19300000	4	15	11	False
chrI	194	w193	19300000	19400000	3	15	12	False
chrI	195	w194	19400000	19500000	2	15	13	False
chrI	196	w195	19500000	19600000	2	15	13	False
chrI	197	w196	19600000	19700000	3	15	12	False
chrI	198	w197	19700000	19800000	3	15	12	False
chrI	199	w198	19800000	19900000	3	15	12	False
chrI	200	w199	19900000	20000000	2	15	13	False
chrI	201	w200	20000000	20100000	3	15	12	False
chrI	202	w201	20100000	20200000	2	15	13	False
chrI	203	w202	20200000	20300000	3	15	12	False
chrI	204	w203	20300000	20400000	3	15	12	False
chrI	205	w204	20400000	20500000	3	15	12	False
chrI	206	w205	20500000	20600000	2	15	13	False
chrI	207	w206	20600000	20700000	3	15	12	False
chrI	208	w207	20700000	20800000	2	15	13	False
chrI	209	w208	20800000	20900000	2	15	13	False
chrI	210	w209	20900000	21000000	3	15	12	False
chrI	211	w210	21000000	21100000	2	15	13	False
chrI	212	w211	21100000	21200000	3	15	12	False
chrI	213	w212	21200000	21300000	2	15	13	False
chrI	214	w213	21300000	21400000	3	15	12	False
chrI	215	w214	21400000	21500000	5	15	10	False
chrI	216	w215	21500000	21600000	3	15	12	False
chrI	217	w216	21600000	21700000	2	15	13	False
chrI	218	w217	21700000	21800000	2	15	13	False
chrI	219	w218	21800000	21900000	3	15	12	False
chrI	220	w219	21900000	22000000	2	15	13	False
chrI	221	w220	22000000	22100000	2	15	13	False
chrI	222	w221	22100000	22200000	2	15	13	False
chrI	223	w222	22200000	22300000	3	15	12	False
chrI	224	w223	22300000	22400000	3	15	12	False
chrI	225	w224	22400000	22500000	3	15	12	False
chrI	226	w225	22500000	22600000	2	15	13	False
chrI	227	w226	22600000	22700000	2	15	13	False
chrI	228	w227	22700000	22800000	2	15	13	False
chrI	229	w228	22800000	22900000	3	15	12	False
chrI	230	w229	22900000	23000000	3	15	12	False
chrI	231	w230	23000000	23100000	3	15	12	False
chrI	232	w231	23100000	23200000	4	15	11	False
chrI	233	w232	23200000	23300000	3	15	12	False
chrI	234	w233	23300000	23400000	3	15	12	False
chrI	235	w234	23400000	23500000	4	15	11	False
chrI	236	w235	23500000	23600000	3	15	12	False
chrI	237	w236	23600000	23700000	4	15	11	False
chrI	238	w237	23700000	23800000	3	15	12	False
chrI	239	w238	23800000	23900000	3	15	12	False
chrI	240	w239	23900000	24000000	3	15	12	False
chrI	241	w240	24000000	24100000	2	15	13	False
chrI	242	w241	24100000	24200000	2	15	13	False
chrI	243	w242	24200000	24300000	2	15	13	False
chrI	244	w243	24300000	24400000	4	15	11	False
chrI	245	w244	24400000	24500000	2	15	13	False
chrI	246	w245	24500000	24600000	3	15	12	False
chrI	247	w246	24600000	24700000	4	15	11	False
chrI	248	w247	24700000	24800000	2	15	13	False
chrI	249	w248	24800000	24900000	3	15	12	False
chrI	250	w249	24900000	25000000	4	15	11	False
chrI	251	w250	25000000	25100000	3	15	12	False
chrI	252	w251	25100000	25200000	3	15	12	False
chrI	253	w252	25200000	25300000	2	15	13	False
chrI	254	w253	25300000	25400000	3	15	12	False
chrI	255	w254	25400000	25500000	4	15	11	False
chrI	256	w255	25500000	25600000	2	15	13	False
chrI	257	w256	25600000	25700000	3	15	12	False
chrI	258	w257	25700000	25800000	2	15	13	False
chrI	259	w258	25800000	25900000	4	15	11	False
chrI	260	w259	25900000	26000000	2	15	13	False
chrI	261	w260	26000000	26100000	2	15	13	False
chrI	262	w261	26100000	26200000	3	15	12	False
chrI	263	w262	26200000	26300000	3	15	12	False
chrI	264	w263	26300000	26400000	3	15	12	False
chrI	265	w264	26400000	26500000	3	15	12	False
chrI	266	w265	26500000	26600000	3	15	12	False
chrI	267	w266	26600000	26700000	4	15	11	False
chrI	268	w267	26700000	26800000	2	15	13	False
chrI	269	w268	26800000	26900000	5	15	10	False
chrI	270	w269	26900000	27000000	4	15	11	False
chrI	271	w270	27000000	27100000	3	15	12	False
chrI	272	w271	27100000	27200000	3	15	12	False
chrI	273	w272	27200000	27300000	2	15	13	False
chrI	274	w273	27300000	27400000	2	15	13	False
chrI	275	w274	27400000	27500000	2	15	13	False
chrI	276	w275	27500000	27600000	2	15	13	False
chrI	277	w276	27600000	27700000	4	15	11	False
chrI	278	w277	27700000	27800000	5	15	10	False
chrI	279	w278	27800000	27900000	3	15	12	False
chrI	280	w279	27900000	28000000	4	15	11	False
chrI	281	w280	28000000	28100000	2	15	13	False
chrI	282	w281	28100000	28200000	3	15	12	False
chrI	283	w282	28200000	28300000	5	15	10	False
chrI	284	w283	28300000	28400000	3	15	12	False
chrI	285	w284	28400000	28500000	3	15	12	False
chrI	286	w285	28500000	28600000	3	15	12	False
chrI	287	w286	28600000	28700000	3	15	12	False
chrI	288	w287	28700000	28800000	3	15	12	False
chrI	289	w288	28800000	28900000	3	15	12	False
chrI	290	w289	28900000	29000000	4	15	11	False
chrI	291	w290	29000000	29100000	4	15	11	False
chrI	292	w291	29100000	29200000	2	15	13	False
chrI	293	w292	29200000	29300000	2	15	13	False
chrI	294	w293	29300000	29400000	2	15	13	False
chrI	295	w294	29400000	29500000	3	15	12	False
chrI	296	w295	29500000	29600000	3	15	12	False
chrII	1	w0	0	100000	2	15	13	False
chrII	2	w1	100000	200000	3	15	12	False
chrII	3	w2	200000	300000	5	15	10	False
chrII	4	w3	300000	400000	2	15	13	False
chrII	5	w4	400000	500000	4	15	11	False
chrII	6	w5	500000	600000	3	15	12	False
chrII	7	w6	600000	700000	2	15	13	False
chrII	8	w7	700000	800000	4	15	11	False
chrII	9	w8	800000	900000	3	15	12	False
chrII	10	w9	900000	1000000	3	15	12	False
chrII	11	w10	1000000	1100000	3	15	12	False
chrII	12	w11	1100000	1200000	3	15	12	False
chrII	13	w12	1200000	1300000	3	15	12	False
chrII	14	w13	1300000	1400000	4	15	11	False
chrII	15	w14	1400000	1500000	2	15	13	False
chrII	16	w15	1500000	1600000	5	15	10	False
chrII	17	w16	1600000	1700000	4	15	11	False
chrII	18	w17	1700000	1800000	4	15	11	False
chrII	19	w18	1800000	1900000	2	15	13	False
chrII	20	w19	1900000	2000000	3	15	12	False
chrII	21	w20	2000000	2100000	3	15	12	False
chrII	22	w21	2100000	2200000	2	15	13	False
chrII	23	w22	2200000	2300000	2	15	13	False
chrII	24	w23	2300000	2400000	3	15	12	False
chrII	25	w24	2400000	2500000	4	15	11	False
chrII	26	w25	2500000	2600000	4	15	11	False
chrII	27	w26	2600000	2700000	2	15	13	False
chrII	28	w27	2700000	2800000	3	15	12	False
chrII	29	w28	2800000	2900000	3	15	12	False
chrII	30	w29	2900000	3000000	2	15	13	False
chrII	31	w30	3000000	3100000	4	15	11	False
chrII	32	w31	3100000	3200000	3	15	12	False
chrII	33	w32	3200000	3300000	4	15	11	False
chrII	34	w33	3300000	3400000	3	15	12	False
chrII	35	w34	3400000	3500000	2	15	13	False
chrII	36	w35	3500000	3600000	4	15	11	False
chrII	37	w36	3600000	3700000	2	15	13	False
chrII	38	w37	3700000	3800000	2	15	13	False
chrII	39	w38	3800000	3900000	3	15	12	False
chrII	40	w39	3900000	4000000	3	15	12	False
chrII	41	w40	4000000	4100000	3	15	12	False
chrII	42	w41	4100000	4200000	3	15	12	False
chrII	43	w42	4200000	4300000	2	15	13	False
chrII	44	w43	4300000	4400000	3	15	12	False
chrII	45	w44	4400000	4500000	3	15	12	False
chrII	46	w45	4500000	4600000	3	15	12	False
chrII	47	w46	4600000	4700000	2	15	13	False
chrII	48	w47	4700000	4800000	3	15	12	False
chrII	49	w48	4800000	4900000	2	15	13	False
chrII	50	w49	4900000	5000000	2	15	13	False
chrII	51	w50	5000000	5100000	3	15	12	False
chrII	52	w51	5100000	5200000	3	15	12	False
chrII	53	w52	5200000	5300000	3	15	12	False
chrII	54	w53	5300000	5400000	3	15	12	False
chrII	55	w54	5400000	5500000	4	15	11	False
chrII	56	w55	5500000	5600000	2	15	13	False
chrII	57	w56	5600000	5700000	6	15	9	False
chrII	58	w57	5700000	5800000	3	15	12	False
chrII	59	w58	5800000	5900000	3	15	12	False
chrII	60	w59	5900000	6000000	2	15	13	False
chrII	61	w60	6000000	6100000	2	15	13	False
chrII	62	w61	6100000	6200000	3	15	12	False
chrII	63	w62	6200000	6300000	3	15	12	False
chrII	64	w63	6300000	6400000	2	15	13	False
chrII	65	w64	6400000	6500000	3	15	12	False
chrII	66	w65	6500000	6600000	4	15	11	False
chrII	67	w66	6600000	6700000	2	15	13	False
chrII	68	w67	6700000	6800000	3	15	12	False
chrII	69	w68	6800000	6900000	4	15	11	False
chrII	70	w69	6900000	7000000	3	15	12	False
chrII	71	w70	7000000	7100000	4	15	11	False
chrII	72	w71	7100000	7200000	2	15	13	False
chrII	73	w72	7200000	7300000	3	15	12	False
chrII	74	w73	7300000	7400000	2	15	13	False
chrII	75	w74	7400000	7500000	3	15	12	False
chrII	76	w75	7500000	7600000	3	15	12	False
chrII	77	w76	7600000	7700000	4	15	11	False
chrII	78	w77	7700000	7800000	3	15	12	False
chrII	79	w78	7800000	7900000	2	15	13	False
chrII	80	w79	7900000	8000000	3	15	12	False
chrII	81	w80	8000000	8100000	3	15	12	False
chrII	82	w81	8100000	8200000	2	15	13	False
chrII	83	w82	8200000	8300000	5	15	10	False
chrII	84	w83	8300000	8400000	2	15	13	False
chrII	85	w84	8400000	8500000	3	15	12	False
chrII	86	w85	8500000	8600000	2	15	13	False
chrII	87	w86	8600000	8700000	4	15	11	False
chrII	88	w87	8700000	8800000	2	15	13	False
chrII	89	w88	8800000	8900000	3	15	12	False
chrII	90	w89	8900000	9000000	3	15	12	False
chrII	91	w90	9000000	9100000	4	15	11	False
chrII	92	w91	9100000	9200000	4	15	11	False
chrII	93	w92	9200000	9300000	2	15	13	False
chrII	94	w93	9300000	9400000	3	15	12	False
chrII	95	w94	9400000	9500000	2	15	13	False
chrII	96	w95	9500000	9600000	2	15	13	False
chrII	97	w96	9600000	9700000	4	15	11	False
chrII	98	w97	9700000	9800000	2	15	13	False
chrII	99	w98	9800000	9900000	4	15	11	False
chrII	100	w99	9900000	10000000	4	15	11	False
chrII	101	w100	10000000	10100000	2	15	13	False
chrII	102	w101	10100000	10200000	2	15	13	False
chrII	103	w102	10200000	10300000	2	15	13	False
chrII	104	w103	10300000	10400000	4	15	11	False
chrII	105	w104	10400000	10500000	3	15	12	False
chrII	106	w105	10500000	10600000	4	15	11	False
chrII	107	w106	10600000	10700000	3	15	12	False
chrII	108	w107	10700000	10800000	5	15	10	False
chrII	109	w108	10800000	10900000	3	15	12	False
chrII	110	w109	10900000	11000000	3	15	12	False
chrII	111	w110	11000000	11100000	5	15	10	False
chrII	112	w111	11100000	11200000	4	15	11	False
chrII	113	w112	11200000	11300000	3	15	12	False
chrII	114	w113	11300000	11400000	3	15	12	False
chrII	115	w114	11400000	11500000	3	15	12	False
chrII	116	w115	11500000	11600000	3	15	12	False
chrII	117	w116	11600000	11700000	3	15	12	False
chrII	118	w117	11700000	11800000	2	15	13	False
chrII	119	w118	11800000	11900000	2	15	13	False
chrII	120	w119	11900000	12000000	4	15	11	False
chrII	121	w120	12000000	12100000	3	15	12	False
chrII	122	w121	12100000	12200000	4	15	11	False
chrII	123	w122	12200000	12300000	3	15	12	False
chrII	124	w123	12300000	12400000	2	15	13	False
chrII	125	w124	12400000	12500000	3	15	12	False
chrII	126	w125	12500000	12600000	4	15	11	False
chrII	127	w126	12600000	12700000	2	15	13	False
chrII	128	w127	12700000	12800000	4	15	11	False
chrII	129	w128	12800000	12900000	2	15	13	False
chrII	130	w129	12900000	13000000	3	15	12	False
chrII	131	w130	13000000	13100000	3	15	12	False
chrII	132	w131	13100000	13200000	2	15	13	False
chrII	133	w132	13200000	13300000	4	15	11	False
chrII	134	w133	13300000	13400000	4	15	11	False
chrII	135	w134	13400000	13500000	3	15	12	False
chrII	136	w135	13500000	13600000	5	15	10	False
chrII	137	w136	13600000	13700000	2	15	13	False
chrII	138	w137	13700000	13800000	2	15	13	False
chrII	139	w138	13800000	13900000	5	15	10	False
chrII	140	w139	13900000	14000000	3	15	12	False
chrII	141	w140	14000000	14100000	2	15	13	False
chrII	142	w141	14100000	14200000	4	15	11	False
chrII	143	w142	14200000	14300000	4	15	11	False
chrII	144	w143	14300000	14400000	2	15	13	False
chrII	145	w144	14400000	14500000	3	15	12	False
chrII	146	w145	14500000	14600000	3	15	12	False
chrII	147	w146	14600000	14700000	3	15	12	False
chrII	148	w147	14700000	14800000	2	15	13	False
chrII	149	w148	14800000	14900000	6	15	9	False
chrII	150	w149	14900000	15000000	3	15	12	False
chrII	151	w150	15000000	15100000	2	15	13	False
chrII	152	w151	15100000	15200000	3	15	12	False
chrII	153	w152	15200000	15300000	5	15	10	False
chrII	154	w153	15300000	15400000	2	15	13	False
chrII	155	w154	15400000	15500000	3	15	12	False
chrII	156	w155	15500000	15600000	2	15	13	False
chrII	157	w156	15600000	15700000	4	15	11	False
chrII	158	w157	15700000	15800000	4	15	11	False
chrII	159	w158	15800000	15900000	4	15	11	False
chrII	160	w159	15900000	16000000	2	15	13	False
chrII	161	w160	16000000	16100000	3	15	12	False
chrII	162	w161	16100000	16200000	2	15	13	False
chrII	163	w162	16200000	16300000	4	15	11	False
chrII	164	w163	16300000	16400000	3	15	12	False
chrII	165	w164	16400000	16500000	4	15	11	False
chrII	166	w165	16500000	16600000	2	15	13	False
chrII	167	w166	16600000	16700000	2	15	13	False
chrII	168	w167	16700000	16800000	3	15	12	False
chrII	169	w168	16800000	16900000	5	15	10	False
chrII	170	w169	16900000	17000000	2	15	13	False
chrII	171	w170	17000000	17100000	5	15	10	False
chrII	172	w171	17100000	17200000	2	15	13	False
chrII	173	w172	17200000	17300000	3	15	12	False
chrII	174	w173	17300000	17400000	3	15	12	False
chrII	175	w174	17400000	17500000	4	15	11	False
chrII	176	w175	17500000	17600000	3	15	12	False
chrII	177	w176	17600000	17700000	2	15	13	False
chrII	178	w177	17700000	17800000	2	15	13	False
chrII	179	w178	17800000	17900000	3	15	12	False
chrII	180	w179	17900000	18000000	2	15	13	False
chrII	181	w180	18000000	18100000	5	15	10	False
chrII	182	w181	18100000	18200000	2	15	13	False
chrII	183	w182	18200000	18300000	2	15	13	False
chrII	184	w183	18300000	18400000	3	15	12	False
chrII	185	w184	18400000	18500000	2	15	13	False
chrII	186	w185	18500000	18600000	2	15	13	False
chrII	187	w186	18600000	18700000	3	15	12	False
chrII	188	w187	18700000	18800000	3	15	12	False
chrII	189	w188	18800000	18900000	3	15	12	False
chrII	190	w189	18900000	19000000	2	15	13	False
chrII	191	w190	19000000	19100000	2	15	13	False
chrII	192	w191	19100000	19200000	2	15	13	False
chrII	193	w192	19200000	19300000	2	15	13	False
chrII	194	w193	19300000	19400000	2	15	13	False
chrII	195	w194	19400000	19500000	2	15	13	False
chrII	196	w195	19500000	19600000	3	15	12	False
chrII	197	w196	19600000	19700000	4	15	11	False
chrII	198	w197	19700000	19800000	2	15	13	False
chrII	199	w198	19800000	19900000	4	15	11	False
chrII	200	w199	19900000	20000000	4	15	11	False
chrII	201	w200	20000000	20100000	2	15	13	False
chrII	202	w201	20100000	20200000	4	15	11	False
chrII	203	w202	20200000	20300000	4	15	11	False
chrII	204	w203	20300000	20400000	2	15	13	False
chrII	205	w204	20400000	20500000	3	15	12	False
chrII	206	w205	20500000	20600000	3	15	12	False
chrII	207	w206	20600000	20700000	4	15	11	False
chrII	208	w207	20700000	20800000	3	15	12	False
chrII	209	w208	20800000	20900000	3	15	12	False
chrII	210	w209	20900000	21000000	5	15	10	False
